content_id,client_id,rf_score,risk_tier,reason_code,action,seen_in_training,days_since_last_update,impressions_90d,avg_position,ctr
content_f410d5929700,client_3fdba35f04,0.7313007824494445,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,627,8.1,0.0
content_4d286871fa04,client_3fdba35f04,0.7312080051151487,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2182,10.3,0.14
content_f8218d351ad6,client_3fdba35f04,0.7310915593180929,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2084,21.3,0.05
content_83ecbfa889b8,client_3fdba35f04,0.7310885576334717,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,501,32.1,0.0
content_72a217799ba0,client_3fdba35f04,0.7310081879542379,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1027,20.2,0.19
content_f9a58c1f22bf,client_3fdba35f04,0.7309894696863063,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,288,17.4,0.0
content_1f2a7a05e6e2,client_3fdba35f04,0.7309894696863063,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,353,19.1,0.0
content_86bd04366488,client_3fdba35f04,0.7309894696863063,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,258,17.6,0.0
content_59f2e65c93aa,client_3fdba35f04,0.7309123307887115,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,236,29.4,0.0
content_d6570c51c9bd,client_3fdba35f04,0.7308805883521285,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2498,10.1,0.0
content_f14d1dd58226,client_8527a891e2,0.7308672045860041,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,False,104,581,29.2,0.0
content_46fbbacc0596,client_3fdba35f04,0.7308613575583909,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,588,27.7,0.0
content_35f55b5a24e7,client_3fdba35f04,0.7308566974459201,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,507,26.2,0.0
content_55f2721bcdc2,client_3fdba35f04,0.7308450454219785,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2294,35.9,0.0
content_0b6d7bdc5365,client_3fdba35f04,0.7307945940655964,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,193,4.4,0.0
